Wall time,Step,Value
1670995139.972539,122503,7.534770965576172
1670995145.401198,122575,7.503296852111816
1670995161.760066,122796,7.503065586090088
1670995165.480465,122841,7.745480060577393
1670995168.779436,122887,7.146831035614014
1670995176.469333,122989,6.986204624176025
1670995187.457263,123135,7.090831279754639
1670995203.588009,123357,6.855475425720215
1670995211.322072,123463,7.2656145095825195
1670995215.343398,123515,7.7913618087768555
1670995221.948733,123602,7.689249515533447
1670995233.274078,123748,6.888872146606445
1670995236.197765,123789,7.548837184906006
1670995238.826005,123825,7.2535881996154785
1670995239.811879,123841,7.685296058654785
1670995243.055765,123879,8.100555419921875
1670995244.571436,123896,6.393349647521973
1670995271.777887,124271,7.306091785430908
1670995273.007217,124291,6.549464702606201
1670995314.97405,124834,7.330280303955078
1670995320.471157,124908,7.252040863037109
1670995329.534975,125024,7.112064361572266
1670995330.91337,125039,6.968123912811279
1670995331.458306,125048,7.166202545166016
1670995360.566406,125414,6.278322696685791
1670995487.193822,125572,7.855550289154053
1670995489.096728,125596,7.993063926696777
1670995510.487211,125897,7.376450061798096
1670995513.478142,125931,7.600656509399414
1670995517.688849,125985,7.570603370666504
1670995544.108833,126354,6.0174407958984375
1670995550.198461,126440,7.293677806854248
1670995550.941843,126452,7.513782024383545
1670995555.620629,126512,7.365228652954102
1670995559.331577,126558,7.296740531921387
1670995566.834442,126659,7.564301013946533
1670995584.786575,126895,7.425698280334473
1670995604.47249,127163,7.241122245788574
1670995624.165649,127421,5.633423328399658
1670995627.392539,127467,6.960152626037598
1670995630.920549,127518,7.1891069412231445
1670995631.681557,127531,6.9391655921936035
1670995636.448573,127593,6.356597900390625
1670995638.416618,127626,6.651091575622559
1670995643.839961,127693,6.886871337890625
1670995650.218254,127785,7.532822132110596
1670995666.116704,127998,7.231882572174072
1670995677.326619,128163,7.121248245239258
1670995680.284884,128197,6.828569412231445
1670995688.061906,128312,7.53129243850708
1670995689.483273,128328,7.0074076652526855
1670995693.337763,128384,7.220710754394531
1670995699.345841,128469,6.381881237030029
1670995705.096462,128556,6.934683799743652
1670995709.787083,128610,7.150619029998779
1670995714.075542,128665,6.401119232177734
1670995717.164004,128700,5.923007488250732
1670995731.407256,128900,6.21658992767334
1670995857.388285,129061,5.547859191894531
1670995859.071945,129081,7.562295913696289
1670995866.803926,129181,7.450647354125977
1670995871.439696,129250,6.9945759773254395
1670995878.667202,129322,6.642463207244873
1670995882.938941,129385,7.6076765060424805
1670995898.728635,129584,7.59219217300415
1670995912.695452,129767,5.7247819900512695
1670995914.901417,129795,6.977930068969727
1670995927.757894,129975,5.734421253204346
1670995935.023014,130061,7.02771520614624
1670995953.009404,130317,7.224398136138916
1670995963.769958,130453,7.289880752563477
1670995976.075769,130622,6.559635639190674
1670995995.936396,130879,7.111485004425049
1670995996.314956,130885,6.973562240600586
1670996000.744499,130949,7.382145404815674
1670996003.794848,130990,7.611741065979004
1670996006.408055,131025,7.132931232452393
1670996008.300741,131055,6.686609268188477
1670996010.944875,131083,7.741979598999023
1670996012.918998,131107,7.12362003326416
1670996013.038368,131109,7.417562007904053
1670996041.846512,131483,8.089803695678711
1670996048.913749,131583,7.179712295532227
1670996051.721818,131622,6.752389430999756
1670996054.354311,131658,6.6124043464660645
1670996056.804301,131690,7.708312511444092
1670996070.211782,131878,7.496853828430176
1670996083.295484,132043,7.0938029289245605
1670996086.231835,132084,6.476073265075684
1670996092.293866,132168,7.798794746398926
1670996209.232123,132198,7.733607769012451
1670996210.8698,132225,6.562260627746582
1670996212.782566,132248,8.030540466308594
1670996214.788116,132280,7.398189544677734
1670996216.712269,132304,7.570563316345215
1670996217.074422,132310,7.047123432159424
1670996223.202634,132394,7.078753471374512
1670996225.353672,132421,6.403066635131836
1670996227.268454,132452,6.426876068115234
1670996233.008961,132522,7.251977920532227
1670996252.476581,132776,7.033106803894043
1670996257.867714,132849,7.2620134353637695
1670996268.337146,132974,5.978805065155029
1670996268.464642,132976,6.53624153137207
1670996272.786269,133038,7.187160015106201
1670996296.690751,133354,7.2184319496154785
1670996303.436793,133449,6.769051551818848
1670996310.423346,133549,7.363776206970215
1670996354.565072,134150,7.672903060913086
1670996357.954763,134198,7.968226909637451
1670996370.512705,134358,7.47498893737793
1670996373.915376,134407,6.959468364715576
1670996391.935423,134647,7.651978492736816
1670996394.689426,134685,7.387571334838867
1670996397.825969,134729,7.845762729644775
1670996403.565727,134807,7.21807861328125
1670996421.260882,135039,6.743593692779541
1670996436.187262,135236,7.53023624420166
1670996439.407215,135275,7.77748966217041
1670996466.787757,135635,7.097139835357666
1670996589.272538,135719,7.431003570556641
1670996600.02992,135853,7.43418550491333
1670996601.81966,135881,6.9479522705078125
1670996609.092844,135954,6.633022785186768
1670996610.354973,135973,6.807140350341797
1670996610.676689,135978,7.037509441375732
1670996622.907731,136133,7.530034065246582
1670996626.48196,136180,7.561272144317627
1670996635.909856,136302,6.827157020568848
1670996641.871626,136377,6.969379901885986
1670996653.235694,136519,9.300087928771973
1670996654.422356,136537,7.302917957305908
1670996659.236056,136596,7.316832065582275
1670996667.040197,136692,7.067901611328125
1670996690.434647,136976,7.679559230804443
1670996697.931322,137076,7.539097785949707
1670996706.239849,137182,6.567733287811279
1670996707.094217,137195,6.774889945983887
1670996723.831983,137396,7.37966251373291
1670996724.159749,137401,7.469775199890137
1670996728.685408,137455,6.776449680328369
1670996734.271335,137516,6.416135311126709
1670996750.14632,137702,7.838009834289551
1670996769.370328,137941,7.831803321838379
1670996771.612105,137969,7.990584373474121
1670996818.271107,138572,5.637202262878418
1670996829.563027,138723,7.204071044921875
1670996972.416112,139165,6.852726936340332
1670996974.99497,139197,7.020321369171143
1670996976.10029,139214,6.087402820587158
1670996977.656837,139238,6.863290309906006
1670996981.188001,139278,6.801884651184082
1670996994.089292,139451,6.642930030822754
1670996994.549925,139458,6.307341575622559
1670997029.264757,139894,8.168413162231445
1670997042.27916,140062,7.9362897872924805
1670997065.142819,140336,7.271711349487305
1670997074.098171,140452,6.755867958068848
1670997074.628368,140460,9.13497257232666
1670997074.882234,140464,7.33347225189209
1670997075.143184,140468,6.66936731338501
1670997096.671174,140736,6.170774936676025
1670997102.796396,140812,6.081167697906494
1670997126.468696,141090,8.013162612915039
1670997126.860601,141096,7.976483345031738
1670997129.304129,141126,7.681666374206543
1670997137.932534,141235,6.7190260887146
1670997153.610057,141440,5.865532875061035
1670997153.856411,141444,7.464059352874756
1670997161.122158,141540,6.7983880043029785
1670997169.632165,141650,7.005834579467773
1670997173.83763,141708,6.893681049346924
